,Player,Nation,Pos,Squad.2,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%1
36,David Raya,es ESP,GK,Arsenal,27,1995,9,9,840.0,9.3,7,0.75,23,16,73.9,5,1,3,4,44.4,1,1,0,0,0.0
37,Álex Remiro,es ESP,GK,Real Sociedad,28,1995,8,8,720.0,8.0,6,0.75,25,19,76.0,3,3,2,4,50.0,0,0,0,0,0.0
38,Dmytro Riznyk,ua UKR,GK,Shakhtar,24,1999,6,6,540.0,6.0,12,2.0,37,25,67.6,3,0,3,2,33.3,1,0,0,1,0.0
39,Frederik Rønnow,dk DEN,GK,Union Berlin,30,1992,6,6,540.0,6.0,10,1.67,29,18,65.5,0,2,4,0,0.0,1,0,1,0,100.0
40,Brice Samba,fr FRA,GK,Lens,29,1994,6,6,540.0,6.0,11,1.83,32,21,71.9,2,2,2,0,0.0,2,2,0,0,0.0
41,Alexander Schlager,at AUT,GK,RB Salzburg,27,1996,6,6,540.0,6.0,8,1.33,33,25,81.8,1,1,4,2,33.3,2,2,0,0,0.0
42,Yann Sommer,ch SUI,GK,Inter,34,1988,7,7,660.0,7.3,4,0.55,29,25,86.2,4,2,1,4,57.1,0,0,0,0,0.0
43,Marco Sportiello,it ITA,GK,Milan,31,1992,1,0,10.0,0.1,0,0.0,1,1,100.0,0,0,0,1,0.0,0,0,0,0,0.0
44,Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,8,8,720.0,8.0,10,1.25,31,21,71.0,5,1,2,2,25.0,1,1,0,0,0.0
45,Anatolii Trubin,ua UKR,GK,Benfica,21,2001,6,6,540.0,6.0,11,1.83,34,23,73.5,1,1,4,0,0.0,4,2,0,2,0.0
46,Sven Ulreich,de GER,GK,Bayern Munich,34,1988,3,3,270.0,3.0,5,1.67,12,7,66.7,3,0,0,0,0.0,1,1,0,0,0.0
47,Timon Wellenreuther,de GER,GK,Feyenoord,27,1995,2,2,180.0,2.0,3,1.5,6,3,50.0,1,0,1,1,50.0,0,0,0,0,0.0
