,Player,Nation,Pos,Squad.2,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att_(GK),Thr,Launch%,AvgLen,Att1,Launch%1,AvgLen1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,4.0,5,1,0,1,0,4.3,0.22,-0.7,-0.18,8,21,38.1,123,26,14.6,27.1,19,15.8,25.2,58,4,6.9,2,0.5,12.1
1,Emil Audero,id IDN,GK,Inter,26,1997,1.0,3,0,0,0,0,2.2,0.44,-0.8,-0.79,1,2,50.0,30,6,6.7,23.7,7,0.0,27.1,8,1,12.5,2,2.0,18.3
2,David von Ballmoos,ch SUI,GK,Young Boys,28,1994,1.0,2,0,0,0,0,1.1,0.54,-0.9,-0.93,5,14,35.7,35,6,37.1,33.0,2,50.0,45.5,4,1,25.0,0,0.0,6.0
3,Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,8.0,13,0,0,1,0,10.9,0.33,-2.1,-0.26,33,86,38.4,220,27,30.0,30.4,50,40.0,35.4,89,1,1.1,6,0.75,18.0
4,Justin Bijlow,nl NED,GK,Feyenoord,25,1998,4.0,7,2,0,1,2,7.0,0.34,2.0,0.5,6,24,25.0,166,14,12.0,22.7,12,33.3,34.0,31,1,3.2,12,3.0,18.6
5,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,5.0,9,0,0,0,1,8.0,0.39,0.0,-0.01,26,45,57.8,200,17,18.0,27.6,41,22.0,28.0,58,0,0.0,5,1.0,19.4
6,Jean Butez,fr FRA,GK,Antwerp,28,1995,5.0,15,0,1,1,1,10.5,0.35,-3.5,-0.7,34,78,43.6,200,26,36.5,33.2,16,31.3,36.9,52,8,15.4,3,0.6,12.7
7,Diogo Costa,pt POR,GK,Porto,23,1999,8.3,9,0,0,0,1,5.9,0.22,-2.1,-0.27,39,118,33.1,322,37,28.9,33.2,52,48.1,42.1,86,8,9.3,14,1.75,16.4
8,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,1.0,0,0,0,0,0,0.8,0.27,0.8,0.8,1,5,20.0,21,5,19.0,24.0,2,50.0,47.0,16,1,6.3,0,0.0,9.3
9,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,4.0,8,1,1,0,1,6.5,0.38,-0.5,-0.13,25,76,32.9,109,10,46.8,36.9,38,65.8,49.4,53,6,11.3,2,0.5,9.1
10,Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,12.0,15,0,0,3,0,14.8,0.29,-0.2,-0.01,31,72,43.1,283,45,18.4,26.7,71,28.2,29.0,108,2,1.9,18,1.5,15.5
11,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,1.0,2,0,0,1,0,1.5,0.75,-0.5,-0.51,3,9,33.3,29,5,24.1,28.5,5,40.0,41.8,6,0,0.0,0,0.0,14.0
12,Ederson,br BRA,GK,Manchester City,29,1993,7.3,6,0,0,0,0,5.5,0.45,-0.5,-0.08,20,29,69.0,226,29,11.9,24.7,23,8.7,21.5,43,4,9.3,6,0.86,14.4
13,Omri Glazer,il ISR,GK,Red Star,27,1996,6.0,15,2,1,2,1,15.1,0.31,1.1,0.18,30,61,49.2,124,16,34.7,33.9,53,34.0,33.8,84,1,1.2,5,0.83,11.9
14,Kamil Grabara,pl POL,GK,FC Copenhagen,24,1999,8.0,14,1,0,3,0,13.3,0.3,-0.7,-0.09,44,123,35.8,224,41,36.2,34.6,64,65.6,49.8,138,6,4.3,3,0.38,9.5
15,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,3.0,3,0,0,0,0,2.6,0.29,-0.4,-0.14,0,9,0.0,80,9,7.5,23.8,22,13.6,27.0,32,0,0.0,3,1.0,24.2
16,Joe Hart,eng ENG,GK,Celtic,36,1987,6.0,15,0,1,2,0,13.3,0.31,-1.7,-0.28,11,30,36.7,192,36,12.0,23.8,52,13.5,22.4,84,1,1.2,1,0.17,5.9
17,Gregor Kobel,ch SUI,GK,Dortmund,25,1997,12.0,10,1,0,1,1,15.7,0.25,6.7,0.56,64,141,45.4,381,38,27.0,30.6,81,46.9,41.5,188,6,3.2,1,0.08,8.4
